case_id,implementation_status,family,difficulty,parse_status,expected_intent,predicted_intent,expected_answerability,predicted_answerability,expected_behavior_class,predicted_behavior_class,intent_correct,answerability_correct,behavior_class_correct,evidence_precision,evidence_recall,warning_precision,warning_recall,missing_field_recall,useful_refusal_correct,partial_answer_correct
R2-001,current,OBJ,easy,parsed,objective_value,objective_value,answerable,answerable,direct_answer,direct_answer,1,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,,
R2-002,current,OBJ,medium,parsed,objective_delta,objective_delta,answerable,answerable,direct_answer,direct_answer,1,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,,
R2-003,current,STRUCT,medium,parsed,new_customer_assignment,new_customer_assignment,partially_answerable,partially_answerable,useful_refusal,useful_refusal,1,1,1,0.0000,1.0000,1.0000,1.0000,1.0000,1,
R2-004,current,STRUCT,medium,parsed,single_customer_route_membership,single_customer_route_membership,answerable,answerable,direct_answer_with_warning,direct_answer_with_warning,1,1,1,0.5000,1.0000,1.0000,1.0000,1.0000,,
R2-005,current,STRUCT,easy,parsed,before_after_comparison,before_after_comparison,not_answerable,not_answerable,useful_refusal,useful_refusal,1,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,1,
R2-006,current,SCHEDULE,medium,parsed,route_end_time,route_end_time,answerable,answerable,direct_answer_with_warning,direct_answer_with_warning,1,1,1,0.5000,1.0000,1.0000,1.0000,1.0000,,
R2-007,current,SCHEDULE,easy,parsed,customer_arrival,customer_arrival,answerable,answerable,direct_answer,direct_answer,1,1,1,0.5000,1.0000,1.0000,1.0000,1.0000,,
R2-008,target_extension,SCHEDULE,hard,parsed,customer_arrival,customer_arrival,not_answerable,not_answerable,useful_refusal,useful_refusal,1,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,1,
R2-009,current,STRUCT,medium,parsed,same_route_boolean,same_route_boolean,answerable,answerable,direct_answer,direct_answer,1,1,1,0.5000,1.0000,1.0000,1.0000,1.0000,,
R2-010,target_extension,STRUCT,hard,parsed,full_route_listing,full_route_listing,answerable,answerable,direct_answer,direct_answer,1,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,,
R2-011,current,PLAN_VALIDITY,easy,parsed,feasibility_status,feasibility_status,answerable,answerable,direct_answer,direct_answer,1,1,1,0.5000,0.2500,1.0000,1.0000,1.0000,,
R2-012,target_extension,PLAN_VALIDITY,medium,parsed,feasibility_status,feasibility_status,not_answerable,not_answerable,useful_refusal,useful_refusal,1,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,1,
R2-013,target_extension,OBJ,hard,parsed,objective_delta,objective_delta,partially_answerable,partially_answerable,partial_answer_with_warning,partial_answer_with_warning,1,1,1,1.0000,0.8000,1.0000,1.0000,1.0000,,1
R2-014,target_extension,OBJ,medium,parsed,objective_value,objective_value,partially_answerable,partially_answerable,partial_answer_with_warning,partial_answer_with_warning,1,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,,1
R2-015,target_extension,SCHEDULE,hard,parsed,route_end_time,route_end_time,not_answerable,not_answerable,useful_refusal,useful_refusal,1,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,1,
