case_id,implementation_status,family,difficulty,parse_status,expected_intent,predicted_intent,expected_answerability,predicted_answerability,expected_behavior_class,predicted_behavior_class,intent_correct,answerability_correct,behavior_class_correct,evidence_precision,evidence_recall,warning_precision,warning_recall,missing_field_recall,useful_refusal_correct,partial_answer_correct
R2-001,current,OBJ,easy,missing,objective_value,,answerable,,direct_answer,,,,,,,,,,,
R2-002,current,OBJ,medium,missing,objective_delta,,answerable,,direct_answer,,,,,,,,,,,
R2-003,current,STRUCT,medium,missing,new_customer_assignment,,partially_answerable,,useful_refusal,,,,,,,,,,,
R2-004,current,STRUCT,medium,missing,single_customer_route_membership,,answerable,,direct_answer_with_warning,,,,,,,,,,,
R2-005,current,STRUCT,easy,missing,before_after_comparison,,not_answerable,,useful_refusal,,,,,,,,,,,
R2-006,current,SCHEDULE,medium,missing,route_end_time,,answerable,,direct_answer_with_warning,,,,,,,,,,,
R2-007,current,SCHEDULE,easy,missing,customer_arrival,,answerable,,direct_answer,,,,,,,,,,,
R2-008,target_extension,SCHEDULE,hard,missing,customer_arrival,,not_answerable,,useful_refusal,,,,,,,,,,,
R2-009,current,STRUCT,medium,missing,same_route_boolean,,answerable,,direct_answer,,,,,,,,,,,
R2-010,target_extension,STRUCT,hard,missing,full_route_listing,,answerable,,direct_answer,,,,,,,,,,,
R2-011,current,PLAN_VALIDITY,easy,missing,feasibility_status,,answerable,,direct_answer,,,,,,,,,,,
R2-012,target_extension,PLAN_VALIDITY,medium,missing,feasibility_status,,not_answerable,,useful_refusal,,,,,,,,,,,
R2-013,target_extension,OBJ,hard,missing,objective_delta,,partially_answerable,,partial_answer_with_warning,,,,,,,,,,,
R2-014,target_extension,OBJ,medium,missing,objective_value,,partially_answerable,,partial_answer_with_warning,,,,,,,,,,,
R2-015,target_extension,SCHEDULE,hard,missing,route_end_time,,not_answerable,,useful_refusal,,,,,,,,,,,
R2-016,current,OBJ,easy,missing,objective_value,,answerable,,direct_answer,,,,,,,,,,,
R2-017,current,OBJ,easy,missing,objective_delta,,answerable,,direct_answer,,,,,,,,,,,
R2-018,current,OBJ,easy,missing,objective_delta,,answerable,,direct_answer,,,,,,,,,,,
R2-019,current,OBJ,easy,missing,objective_value,,answerable,,direct_answer,,,,,,,,,,,
R2-020,current,OBJ,medium,missing,objective_delta,,answerable,,direct_answer,,,,,,,,,,,
R2-026,current,OBJ,medium,missing,objective_delta,,answerable,,direct_answer,,,,,,,,,,,
R2-021,target_extension,OBJ,hard,missing,objective_value,,partially_answerable,,partial_answer_with_warning,,,,,,,,,,,
R2-022,target_extension,OBJ,hard,missing,objective_value,,partially_answerable,,partial_answer_with_warning,,,,,,,,,,,
R2-023,target_extension,OBJ,hard,missing,objective_value,,partially_answerable,,partial_answer_with_warning,,,,,,,,,,,
R2-024,target_extension,OBJ,hard,missing,objective_delta,,partially_answerable,,partial_answer_with_warning,,,,,,,,,,,
R2-025,target_extension,OBJ,hard,missing,objective_delta,,partially_answerable,,partial_answer_with_warning,,,,,,,,,,,
R2-027,current,PLAN_VALIDITY,easy,missing,feasibility_status,,answerable,,direct_answer,,,,,,,,,,,
R2-028,current,PLAN_VALIDITY,easy,missing,feasibility_status,,answerable,,direct_answer,,,,,,,,,,,
R2-029,current,PLAN_VALIDITY,easy,missing,feasibility_status,,answerable,,direct_answer,,,,,,,,,,,
R2-030,current,PLAN_VALIDITY,medium,missing,feasibility_status,,answerable,,direct_answer,,,,,,,,,,,
R2-031,current,PLAN_VALIDITY,medium,missing,feasibility_status,,answerable,,direct_answer,,,,,,,,,,,
R2-032,target_extension,PLAN_VALIDITY,medium,missing,feasibility_status,,not_answerable,,useful_refusal,,,,,,,,,,,
R2-033,target_extension,PLAN_VALIDITY,medium,missing,feasibility_status,,not_answerable,,useful_refusal,,,,,,,,,,,
R2-034,target_extension,PLAN_VALIDITY,medium,missing,feasibility_status,,not_answerable,,useful_refusal,,,,,,,,,,,
R2-035,target_extension,PLAN_VALIDITY,medium,missing,feasibility_status,,not_answerable,,useful_refusal,,,,,,,,,,,
R2-036,target_extension,PLAN_VALIDITY,medium,missing,feasibility_status,,not_answerable,,useful_refusal,,,,,,,,,,,
R2-037,current,STRUCT,easy,missing,route_count,,answerable,,direct_answer,,,,,,,,,,,
R2-038,current,STRUCT,easy,missing,route_count,,answerable,,direct_answer,,,,,,,,,,,
R2-039,current,STRUCT,medium,missing,single_customer_route_membership,,answerable,,direct_answer_with_warning,,,,,,,,,,,
R2-040,current,STRUCT,medium,parsed,single_customer_route_membership,single_customer_route_membership,answerable,answerable,direct_answer_with_warning,direct_answer_with_warning,1,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,,
R2-041,current,STRUCT,medium,missing,single_customer_route_membership,,answerable,,direct_answer_with_warning,,,,,,,,,,,
R2-042,current,STRUCT,easy,missing,before_after_comparison,,not_answerable,,useful_refusal,,,,,,,,,,,
R2-043,current,STRUCT,easy,missing,before_after_comparison,,not_answerable,,useful_refusal,,,,,,,,,,,
R2-044,current,STRUCT,medium,missing,new_customer_assignment,,partially_answerable,,useful_refusal,,,,,,,,,,,
R2-045,current,STRUCT,medium,missing,single_customer_route_membership,,answerable,,direct_answer_with_warning,,,,,,,,,,,
R2-046,current,STRUCT,medium,missing,same_route_boolean,,answerable,,direct_answer,,,,,,,,,,,
R2-047,target_extension,STRUCT,hard,missing,single_customer_route_membership,,not_answerable,,useful_refusal,,,,,,,,,,,
R2-048,target_extension,STRUCT,hard,parsed,full_route_listing,full_route_listing,answerable,answerable,direct_answer,direct_answer,1,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,,
R2-049,target_extension,STRUCT,hard,missing,full_route_listing,,answerable,,direct_answer,,,,,,,,,,,
R2-050,current,SCHEDULE,easy,missing,customer_arrival,,answerable,,direct_answer,,,,,,,,,,,
R2-051,current,SCHEDULE,easy,parsed,lateness_summary,lateness_summary,answerable,answerable,direct_answer,direct_answer,1,1,1,1.0000,1.0000,1.0000,1.0000,1.0000,,
R2-052,current,SCHEDULE,medium,missing,before_after_comparison,,not_answerable,,useful_refusal,,,,,,,,,,,
R2-053,current,SCHEDULE,easy,missing,lateness_summary,,answerable,,direct_answer,,,,,,,,,,,
R2-054,current,SCHEDULE,easy,missing,lateness_summary,,answerable,,direct_answer,,,,,,,,,,,
R2-055,current,SCHEDULE,medium,parsed,route_end_time,route_end_time,answerable,answerable,direct_answer_with_warning,direct_answer_with_warning,1,1,1,0.5000,1.0000,1.0000,1.0000,1.0000,,
R2-056,current,SCHEDULE,easy,missing,customer_arrival,,answerable,,direct_answer,,,,,,,,,,,
R2-057,current,SCHEDULE,medium,missing,before_after_comparison,,not_answerable,,useful_refusal,,,,,,,,,,,
R2-058,target_extension,SCHEDULE,hard,missing,customer_arrival,,not_answerable,,useful_refusal,,,,,,,,,,,
R2-059,target_extension,SCHEDULE,hard,missing,route_end_time,,not_answerable,,useful_refusal,,,,,,,,,,,
R2-060,current,SCHEDULE,medium,parsed,route_end_time,route_end_time,answerable,answerable,direct_answer_with_warning,direct_answer_with_warning,1,1,1,0.5000,1.0000,1.0000,1.0000,1.0000,,
