prompt_id,family,source,cell_id,instance_id,perturbation_id,perturbation_family,instance_class,dataset,quadrant,sufficiency_label,policy_decision,action_taken,op_validity_gradable,manual_review_required,prompt_text,answer_text,claimed_objective,claimed_feasible,claimed_route_count,claimed_route_membership,claimed_late_customers,claimed_customer_timings,faithfulness_score,faithfulness_rationale,judge_op_validity_pass,judge_op_validity_check_results,judge_refusal_detected,runner_op_validity_pass,runner_op_validity_check_results,runner_refusal_detected,op_validity_agreement,refusal_agreement,framing_leak_hits,payload_external_field_refs,generator_model_served,judge_model_served,generator_wallclock_ms,judge_wallclock_ms,generator_cost_usd,judge_cost_usd,backend
001,OBJ,synthetic,C202__TW_3,C202,TW_3,TIME_WINDOW,C,Solomon,suff_accept,sufficient,accept,reuse_direct,True,False,What's the total cost on this plan after the time windows got tighter?,The total cost on the plan after the time windows got tighter is 591.6 solomon_distance units.,591.6,,,null,null,null,5,"The generator's sole claim is that total cost = 591.6 solomon_distance units. The payload field `action_objective` is exactly 591.6 and `units.objective` is ""solomon_distance"", so every numerical and unit claim matches the data exactly.",True,"{""objective_within_0_5_pct"": true}",False,True,"{""objective_within_0_5_pct"": true}",False,True,True,[],[],claude-haiku-4-5,claude-sonnet-4-6,11592,13346,0.01530655,0.03394835,claude-code
002,OBJ,llm_generated,R109__TT_4,R109,TT_4,TRAVEL_TIME,R,Solomon,suff_accept,sufficient,accept,reuse_direct,True,False,What did this end up costing compared to running a full re-solve?,The reuse_direct action resulted in the same objective value as a full re-solve would have. The cost difference is 0.0 (absolute delta) and 0.0% (percent delta). Both achieved an objective of 1151.9 solomon_distance units.,0,,,null,null,null,5,"Every prose claim in answer_text matches the payload exactly: the absolute delta of 0.0 matches `objective_delta_absolute: 0.0`, the percent delta of 0.0% matches `objective_delta_percent: 0.0`, and the stated objective of 1151.9 solomon_distance units matches both `action_objective: 1151.9` and `baseline_objective: 1151.9`. No unfaithful claims appear in the answer text.",False,"{""objective_within_0_5_pct"": false}",False,False,"{""objective_within_0_5_pct"": false}",False,True,True,[],[],claude-haiku-4-5,claude-sonnet-4-6,17095,38237,0.017387800000000002,0.06014755000000001,claude-code
003,OBJ,synthetic,C2_2_2__TW_5,C2_2_2,TW_5,TIME_WINDOW,C,Homberger,suff_accept,sufficient,accept,reuse_direct,True,False,What's the total cost on this plan after the time windows got tighter?,"The total cost on this plan after the time windows got tighter is 1857.6 solomon_distance units. This is the same as the baseline objective, indicating no change in cost despite the tightened time windows.",1857.6,,,null,null,null,5,"Every claim in the answer is exactly supported by the payload: the stated total cost of 1857.6 solomon_distance units matches `action_objective` exactly, the claim that it equals the baseline matches `baseline_objective` = 1857.6, and the assertion of no change matches `objective_delta_absolute` = 0.0 / `objective_delta_percent` = 0.0. No unsupported claims are made.",True,"{""objective_within_0_5_pct"": true}",False,True,"{""objective_within_0_5_pct"": true}",False,True,True,[],[],claude-haiku-4-5,claude-sonnet-4-6,7909,15311,0.01418875,0.0367411,claude-code
004,OBJ,synthetic,C104__ST_3,C104,ST_3,SERVICE_TIME,C,Solomon,suff_escal,sufficient,escalate,pyvrp_10s,False,False,How much did the total distance change after service times went up 50%?,The total distance increased by 55.8 solomon_distance units (a 6.77% increase). The baseline distance was 824.6 and the distance after the 50% service time increase was 880.4.,55.8,,,null,null,null,5,"Every numerical claim in the answer matches the payload exactly: the absolute delta of 55.8 matches `objective_delta_absolute`, the 6.77% matches `objective_delta_percent`, the baseline of 824.6 matches `baseline_objective`, and the post-perturbation distance of 880.4 matches `action_objective`. No unsupported figures were introduced.",,null,False,,null,False,True,True,[],[],claude-haiku-4-5,claude-sonnet-4-6,10840,14850,0.01492035,0.035755800000000004,claude-code
005,OBJ,synthetic,C206__ST_2,C206,ST_2,SERVICE_TIME,C,Solomon,suff_escal,sufficient,escalate,pyvrp_10s,False,False,How much did the total distance change after service times went up 25%?,The total distance increased by 32.5 solomon_distance units (absolute change) or 5.52% after service times were scaled up 25%. The baseline distance was 588.4 and the distance after the perturbation was 620.9.,32.5,,,null,null,null,5,"Every numerical claim in the answer matches the payload exactly: the absolute delta of 32.5 matches `objective_delta_absolute`, the percent change of 5.52% matches `objective_delta_percent`, the baseline of 588.4 matches `baseline_objective`, and the post-perturbation value of 620.9 matches `action_objective`. No unsupported claims were made.",,null,False,,null,False,True,True,[],[],claude-haiku-4-5,claude-sonnet-4-6,11154,14585,0.014924100000000001,0.036252400000000004,claude-code
006,OBJ,llm_generated,C1_2_2__TT_5,C1_2_2,TT_5,TRAVEL_TIME,C,Homberger,suff_escal,sufficient,escalate,pyvrp_10s,True,False,What does the new plan end up costing in total after the longer travel times kicked in?,2783.8 solomon_distance units.,2783.8,,,null,null,null,5,"The answer states exactly ""2783.8 solomon_distance units,"" which matches the payload's `action_objective` of 2783.8 precisely. No other numerical or structural claims are made, so there is nothing to penalize.",True,"{""objective_within_0_5_pct"": true}",False,True,"{""objective_within_0_5_pct"": true}",False,True,True,[],[],claude-haiku-4-5,claude-sonnet-4-6,7703,16785,0.013768600000000002,0.036396899999999996,claude-code
007,OBJ,synthetic,C103__OC_1,C103,OC_1,ORDER_CHANGE,C,Solomon,insuff_accept,insufficient,accept,local_repair_insert,False,False,Is the cost up or down compared to before a new order came in?,"The cost is up. The total distance increased from 827.8 to 900.3, an increase of 72.5 units (8.76%).",900.3,,,null,null,null,5,"Every claim in the answer matches the payload exactly: the directional claim (""up"") is correct since action_objective (900.3) > baseline_objective (827.8); the stated baseline of 827.8 matches `baseline_objective`; the stated post-action cost of 900.3 matches `action_objective`; the absolute delta of 72.5 matches `objective_delta_absolute`; and the percent increase of 8.76% matches `objective_delta_percent`.",,null,False,,null,False,True,True,[],[],claude-haiku-4-5,claude-sonnet-4-6,23429,16650,0.0241602,0.0389428,claude-code
008,OBJ,llm_generated,C207__ST_1,C207,ST_1,SERVICE_TIME,C,Solomon,insuff_accept,insufficient,accept,reuse_direct,False,False,How much more does this plan cost compared to running a full re-solve from scratch?,"This plan costs 0.0 additional. The reuse_direct action achieved an objective value of 588.1 solomon_distance units, which is identical to the baseline objective of a full re-solve from scratch.",,,,null,null,null,5,"All three claims in the answer are exactly supported by the payload: the delta cost of ""0.0 additional"" matches `objective_delta_absolute: 0.0`; the stated action objective of ""588.1 solomon_distance units"" matches `action_objective: 588.1`; and the claim that it is ""identical to the baseline objective of a full re-solve from scratch"" matches `baseline_objective: 588.1` with `objective_delta_percent: 0.0`.",,null,False,,null,False,True,True,[],[],claude-haiku-4-5,claude-sonnet-4-6,19114,20198,0.02657105,0.041904300000000005,claude-code
009,OBJ,llm_generated,R206__OC_4,R206,OC_4,ORDER_CHANGE,R,Solomon,insuff_accept,insufficient,accept,local_repair_insert,True,False,"After patching in the new customers with that quick insert, what does the total route cost look like now?","The total route cost after the local_repair_insert action is 975.4 solomon_distance units, which is 94.2 units (10.69%) higher than the baseline of 881.2 units.",975.4,,,null,null,null,5,"Every numerical claim in the answer matches the payload exactly: the stated objective of 975.4 matches `action_objective` = 975.4, the absolute delta of 94.2 matches `objective_delta_absolute` = 94.2, the percent delta of 10.69% matches `objective_delta_percent` = 10.69, and the baseline of 881.2 matches `baseline_objective` = 881.2. No fabricated or imprecise claims are present.",True,"{""objective_within_0_5_pct"": true}",False,True,"{""objective_within_0_5_pct"": true}",False,True,True,[],[],claude-haiku-4-5,claude-sonnet-4-6,9161,19691,0.014471100000000004,0.03862625,claude-code
010,OBJ,llm_generated,C201__ST_2,C201,ST_2,SERVICE_TIME,C,Solomon,insuff_escal,insufficient,escalate,pyvrp_10s,True,False,What does the 10-second solve end up costing compared to a full re-solve?,"The 10-second solve costs 85.8 solomon_distance units more than a full re-solve, which is a 14.5% increase in objective value.",85.8,,,null,null,null,5,"The answer makes two payload-covered claims: (1) the absolute delta is 85.8 solomon_distance units, matching `objective_delta_absolute` = 85.8 exactly; and (2) this represents a 14.5% increase, matching `objective_delta_percent` = 14.5 exactly. Both claims are perfectly supported by the payload with no rounding or imprecision.",False,"{""objective_within_0_5_pct"": false}",False,False,"{""objective_within_0_5_pct"": false}",False,True,True,[],[],claude-haiku-4-5,claude-sonnet-4-6,11418,24763,0.016161400000000003,0.05096165,claude-code
