prompt_id,family,source,cell_id,instance_id,perturbation_id,perturbation_family,instance_class,dataset,quadrant,sufficiency_label,policy_decision,action_taken,template_id,prompt_text,op_validity_gradable,manual_review_required,selection_rationale
001,OBJ,synthetic,C202__TW_3,C202,TW_3,TIME_WINDOW,C,Solomon,suff_accept,sufficient,accept,reuse_direct,OBJ-1,What's the total cost on this plan after the time windows got tighter?,True,False,family=OBJ; quadrant=suff_accept; dataset=Solomon; slot=1/5; source=synthetic
005,OBJ,synthetic,C206__ST_2,C206,ST_2,SERVICE_TIME,C,Solomon,suff_escal,sufficient,escalate,pyvrp_10s,OBJ-2,How much did the total distance change after service times went up 25%?,False,False,family=OBJ; quadrant=suff_escal; dataset=Solomon; slot=2/5; source=synthetic
007,OBJ,synthetic,C103__OC_1,C103,OC_1,ORDER_CHANGE,C,Solomon,insuff_accept,insufficient,accept,local_repair_insert,OBJ-3,Is the cost up or down compared to before a new order came in?,False,False,family=OBJ; quadrant=insuff_accept; dataset=Solomon; slot=3/5; source=synthetic
009,OBJ,llm_generated,R206__OC_4,R206,OC_4,ORDER_CHANGE,R,Solomon,insuff_accept,insufficient,accept,local_repair_insert,,"After patching in the new customers with that quick insert, what does the total route cost look like now?",True,False,family=OBJ; quadrant=insuff_accept; dataset=Solomon; slot=4/5; source=llm_generated
012,OBJ,llm_generated,C1_2_1__TT_5,C1_2_1,TT_5,TRAVEL_TIME,C,Homberger,insuff_escal,insufficient,escalate,pyvrp_10s,,What's the total cost of this plan compared to what a full re-solve would give us?,True,False,family=OBJ; quadrant=insuff_escal; dataset=Homberger; slot=5/5; source=llm_generated
015,PLAN_VALIDITY,synthetic,C2_2_1__TW_6,C2_2_1,TW_6,TIME_WINDOW,C,Homberger,suff_accept,sufficient,accept,reuse_direct,PV-1,Does this plan still work after the time windows got tighter?,True,False,family=PLAN_VALIDITY; quadrant=suff_accept; dataset=Homberger; slot=1/5; source=synthetic
016,PLAN_VALIDITY,synthetic,R104__TT_2,R104,TT_2,TRAVEL_TIME,R,Solomon,suff_escal,sufficient,escalate,pyvrp_10s,PV-1,Does this plan still work after travel times went up 20%?,True,False,family=PLAN_VALIDITY; quadrant=suff_escal; dataset=Solomon; slot=2/5; source=synthetic
020,PLAN_VALIDITY,llm_generated,RC103__ST_2,RC103,ST_2,SERVICE_TIME,RC,Solomon,insuff_accept,insufficient,accept,reuse_direct,,"If jobs are taking longer to complete now, can all the stops on this route still be finished within their allowed windows?",False,True,family=PLAN_VALIDITY; quadrant=insuff_accept; dataset=Solomon; slot=3/5; source=llm_generated
019,PLAN_VALIDITY,llm_generated,C201__OC_1,C201,OC_1,ORDER_CHANGE,C,Solomon,insuff_accept,insufficient,accept,local_repair_insert,,"After adding the new customer and running the quick fix, does the updated plan still work within all your route constraints?",True,False,family=PLAN_VALIDITY; quadrant=insuff_accept; dataset=Solomon; slot=4/5; source=llm_generated
023,PLAN_VALIDITY,synthetic,R106__TW_4,R106,TW_4,TIME_WINDOW,R,Solomon,insuff_escal,insufficient,escalate,pyvrp_10s,PV-3,Did we end up dropping any customers after the time windows got tighter?,False,False,family=PLAN_VALIDITY; quadrant=insuff_escal; dataset=Solomon; slot=5/5; source=synthetic
