case_id,category,query,family,control_intent,treatment_intent,treatment_samples,treatment_tie_break,agreement,control_error,treatment_error
OP-002,orientation,Walk me through this plan.,OBJ,solution_summary,solution_summary,,False,True,,
OP-003,orientation,Brief me on the perturbation.,OBJ,scenario_summary,scenario_summary,,False,True,,
OP-004,orientation,Give me a snapshot of where we are.,OBJ,scenario_summary,scenario_summary,,False,True,,
OP-005,orientation,I just sat down — set me up. What's going on?,OBJ,scenario_summary,scenario_summary,,False,True,,
OP-006,orientation,Summarize the current situation.,OBJ,scenario_summary,scenario_summary,,False,True,,
OP-008,orientation,Talk me through what happened here.,OBJ,solution_summary,solution_summary,,False,True,,
OP-300,orientation,Whats going on with this scenario?,OBJ,scenario_summary,scenario_summary,,False,True,,
OP-301,orientation,give me the lowdown,OBJ,scenario_summary,scenario_summary,,False,True,,
OP-013,specific_diagnosis,Who's on route 2?,STRUCT,single_customer_route_membership,single_customer_route_membership,single_customer_route_membership|single_customer_route_membership|single_customer_route_membership|single_customer_route_membership|single_customer_route_membership,False,True,,
OP-019,specific_diagnosis,List the routes.,STRUCT,full_route_listing,full_route_listing,full_route_listing|full_route_listing|full_route_listing|full_route_listing|full_route_listing,False,True,,
OP-020,prioritized_diagnosis,What's the worst route?,SCHEDULE,unknown,unknown,unknown|unknown|what_to_watch|what_to_watch|what_to_watch,False,True,,
OP-021,prioritized_diagnosis,Which customer is closest to their window edge?,SCHEDULE,unknown,unknown,unknown|unknown|unknown|unknown|unknown,False,True,,
OP-022,prioritized_diagnosis,Where's the most pain in this plan?,SCHEDULE,unknown,unknown,what_to_watch|what_to_watch|what_to_watch|what_to_watch|what_to_watch,False,True,,
OP-023,prioritized_diagnosis,Which route has the least slack?,SCHEDULE,unknown,unknown,unknown|unknown|unknown|unknown|unknown,False,True,,
OP-024,prioritized_diagnosis,Are any vehicles severely underutilized?,STRUCT,evaluate_dimension_acceptability,evaluate_dimension_acceptability,evaluate_dimension_acceptability|evaluate_dimension_acceptability|evaluate_dimension_acceptability|evaluate_dimension_acceptability|evaluate_dimension_acceptability,False,True,,
OP-025,prioritized_diagnosis,Which 5 customers are most at risk?,SCHEDULE,unknown,unknown,what_to_watch|what_to_watch|what_to_watch|what_to_watch|what_to_watch,False,True,,
OP-026,prioritized_diagnosis,What's the longest route?,SCHEDULE,unknown,unknown,unknown|unknown|unknown|unknown|unknown,False,True,,
OP-027,prioritized_diagnosis,Which route is carrying the heaviest load?,STRUCT,unknown,unknown,route_impact_summary|unknown|route_impact_summary|route_impact_summary|route_impact_summary,False,True,,
OP-028,prioritized_diagnosis,Where's the bottleneck?,SCHEDULE,what_to_watch,what_to_watch,what_to_watch|what_to_watch|what_to_watch|what_to_watch|what_to_watch,False,True,,
OP-029,prioritized_diagnosis,Show me the biggest problems.,SCHEDULE,unknown,unknown,what_to_watch|what_to_watch|what_to_watch|what_to_watch|what_to_watch,False,True,,
OP-030,prioritized_diagnosis,Rank routes by lateness.,SCHEDULE,unknown,unknown,unknown|unknown|unknown|unknown|unknown,False,True,,
OP-031,prioritized_diagnosis,Which late customer is the worst case?,SCHEDULE,unknown,unknown,lateness_summary|lateness_summary|lateness_summary|lateness_summary|lateness_summary,False,True,,
OP-032,prioritized_diagnosis,Top 3 things I should look at first?,OBJ,unknown,unknown,what_to_watch|what_to_watch|what_to_watch|what_to_watch|what_to_watch,False,True,,
OP-033,prioritized_diagnosis,What's the tightest time window in this plan?,SCHEDULE,unknown,evaluate_dimension_acceptability,evaluate_dimension_acceptability|evaluate_dimension_acceptability|evaluate_dimension_acceptability|evaluate_dimension_acceptability|evaluate_dimension_acceptability,False,False,,
OP-034,prioritized_diagnosis,Which customer arrived earliest relative to their window?,SCHEDULE,customer_arrival,customer_arrival,customer_arrival|customer_arrival|customer_arrival|customer_arrival|customer_arrival,False,True,,
OP-320,prioritized_diagnosis,show me the worst late customer,SCHEDULE,unknown,unknown,lateness_summary|lateness_summary|lateness_summary|lateness_summary|lateness_summary,False,True,,
OP-321,prioritized_diagnosis,which route is most stressed?,SCHEDULE,unknown,unknown,what_to_watch|what_to_watch|what_to_watch|what_to_watch|what_to_watch,False,True,,
OP-323,prioritized_diagnosis,give me the most overloaded vehicle,STRUCT,unknown,unknown,unknown|unknown|unknown|unknown|unknown,False,True,,
OP-040,comparison,What changed in this perturbation?,OBJ,before_after_comparison,before_after_comparison,before_after_comparison|before_after_comparison|before_after_comparison|before_after_comparison|before_after_comparison,False,True,,
OP-041,comparison,What changed between baseline and now?,OBJ,before_after_comparison,before_after_comparison,before_after_comparison|before_after_comparison|before_after_comparison|before_after_comparison|before_after_comparison,False,True,,
OP-044,comparison,Did any routes get reshuffled?,STRUCT,route_impact_summary,route_impact_summary,route_impact_summary|route_impact_summary|route_impact_summary|route_impact_summary|route_impact_summary,False,True,,
OP-045,comparison,What got worse?,OBJ,before_after_comparison,before_after_comparison,before_after_comparison|before_after_comparison|before_after_comparison|before_after_comparison|before_after_comparison,False,True,,
OP-046,comparison,Did anything improve?,OBJ,before_after_comparison,before_after_comparison,before_after_comparison|before_after_comparison|before_after_comparison|before_after_comparison|before_after_comparison,False,True,,
OP-048,comparison,Was this perturbation easy to absorb?,OBJ,evaluate_plan_acceptability,evaluate_plan_acceptability,evaluate_plan_acceptability|evaluate_plan_acceptability|evaluate_plan_acceptability|evaluate_plan_acceptability|evaluate_plan_acceptability,False,True,,
OP-049,comparison,Tell me everything that's different from baseline.,OBJ,before_after_comparison,before_after_comparison,before_after_comparison|before_after_comparison|before_after_comparison|before_after_comparison|before_after_comparison,False,True,,
OP-340,comparison,compare this to the baseline,OBJ,before_after_comparison,before_after_comparison,before_after_comparison|before_after_comparison|before_after_comparison|before_after_comparison|before_after_comparison,False,True,,
