case_id,category,query,expected_ideal_behavior,family,scenario_id,phase,run_index,intent,behavior_class,answerability_status,evidence_count,answer_text_truncated,warning_kinds,validation_outcome,adapter_source,fallback_used,fallback_reason,d1_intent,llm_intent,compute_decision_mode,aspect_triggered,aspect_name,latency_ms,bucket,bucket_confidence,bucket_rationale,error,strict_bucket,strict_rationale
OP-001,orientation,What am I looking at?,direct_answer,OBJ,C202__TW_3,off,0,scenario_summary,direct_answer,answerable,28,"This scenario is instance C202, under a time-window perturbation. This stresses whether customers can still be served within their allowed service windows. Tightened windows make on-time delivery harder. Objective 591.6.",,fallback_to_d1,d1,True,no_llm_client,scenario_summary,,answer_from_payload,False,,13.57,ANSWERED_USEFULLY,high,"category-aligned intent=scenario_summary, ev=28",,ANSWERED_USEFULLY,strict ok: overview intent scenario_summary
OP-001,orientation,What am I looking at?,direct_answer,PV,R202__OC_1,off,0,scenario_summary,direct_answer,answerable,28,"This scenario is instance R202, under a customer-insertion perturbation. This stresses whether the plan can absorb additional customer orders. New customers must be assigned to a route while preserving feasibility and reasonable cost. The current solution is feasible.",,fallback_to_d1,d1,True,no_llm_client,scenario_summary,,answer_from_payload,False,,0.27,ANSWERED_USEFULLY,high,"category-aligned intent=scenario_summary, ev=28",,ANSWERED_USEFULLY,strict ok: overview intent scenario_summary
OP-001,orientation,What am I looking at?,direct_answer,STRUCT,C104__OC_2,off,0,scenario_summary,direct_answer,answerable,28,"This scenario is instance C104, under a customer-insertion perturbation. This stresses whether the plan can absorb additional customer orders. New customers must be assigned to a route while preserving feasibility and reasonable cost. 10 routes.",,fallback_to_d1,d1,True,no_llm_client,scenario_summary,,answer_from_payload,False,,0.33,ANSWERED_USEFULLY,high,"category-aligned intent=scenario_summary, ev=28",,ANSWERED_USEFULLY,strict ok: overview intent scenario_summary
OP-001,orientation,What am I looking at?,direct_answer,SCHEDULE,C105__TT_4,off,0,scenario_summary,direct_answer,answerable,28,"This scenario is instance C105, under a travel-time perturbation. This stresses whether routes remain feasible and timely when travel times between customers change. Longer travel times push out arrivals and may break time-window or end-of-day constraints. No late customers.",,fallback_to_d1,d1,True,no_llm_client,scenario_summary,,answer_from_payload,False,,1.54,ANSWERED_USEFULLY,high,"category-aligned intent=scenario_summary, ev=28",,ANSWERED_USEFULLY,strict ok: overview intent scenario_summary
OP-002,orientation,Walk me through this plan.,direct_answer,OBJ,C202__TW_3,off,0,unknown,useful_refusal,not_answerable,0,This question cannot be answered from the current payload.,,fallback_to_d1,d1,True,no_llm_client,unknown,,clarification_needed,False,,0.18,REFUSED_INCORRECTLY,high,"expected=direct_answer, got useful_refusal (intent=unknown)",,REFUSED_LEGITIMATELY,refused (acceptable for orientation)
OP-002,orientation,Walk me through this plan.,direct_answer,PV,R202__OC_1,off,0,unknown,useful_refusal,not_answerable,0,This question cannot be answered from the current payload.,,fallback_to_d1,d1,True,no_llm_client,unknown,,clarification_needed,False,,0.17,REFUSED_INCORRECTLY,high,"expected=direct_answer, got useful_refusal (intent=unknown)",,REFUSED_LEGITIMATELY,refused (acceptable for orientation)
OP-002,orientation,Walk me through this plan.,direct_answer,STRUCT,C104__OC_2,off,0,unknown,useful_refusal,not_answerable,0,This question cannot be answered from the current payload.,,fallback_to_d1,d1,True,no_llm_client,unknown,,clarification_needed,False,,0.32,REFUSED_INCORRECTLY,high,"expected=direct_answer, got useful_refusal (intent=unknown)",,REFUSED_LEGITIMATELY,refused (acceptable for orientation)
OP-002,orientation,Walk me through this plan.,direct_answer,SCHEDULE,C105__TT_4,off,0,unknown,useful_refusal,not_answerable,0,This question cannot be answered from the current payload.,,fallback_to_d1,d1,True,no_llm_client,unknown,,clarification_needed,False,,1.58,REFUSED_INCORRECTLY,high,"expected=direct_answer, got useful_refusal (intent=unknown)",,REFUSED_LEGITIMATELY,refused (acceptable for orientation)
OP-003,orientation,Brief me on the perturbation.,direct_answer,OBJ,C202__TW_3,off,0,unknown,useful_refusal,not_answerable,0,This question cannot be answered from the current payload.,,fallback_to_d1,d1,True,no_llm_client,unknown,,clarification_needed,False,,0.16,REFUSED_INCORRECTLY,high,"expected=direct_answer, got useful_refusal (intent=unknown)",,REFUSED_LEGITIMATELY,refused (acceptable for orientation)
OP-003,orientation,Brief me on the perturbation.,direct_answer,PV,R202__OC_1,off,0,unknown,useful_refusal,not_answerable,0,This question cannot be answered from the current payload.,,fallback_to_d1,d1,True,no_llm_client,unknown,,clarification_needed,False,,0.16,REFUSED_INCORRECTLY,high,"expected=direct_answer, got useful_refusal (intent=unknown)",,REFUSED_LEGITIMATELY,refused (acceptable for orientation)
OP-003,orientation,Brief me on the perturbation.,direct_answer,STRUCT,C104__OC_2,off,0,unknown,useful_refusal,not_answerable,0,This question cannot be answered from the current payload.,,fallback_to_d1,d1,True,no_llm_client,unknown,,clarification_needed,False,,0.31,REFUSED_INCORRECTLY,high,"expected=direct_answer, got useful_refusal (intent=unknown)",,REFUSED_LEGITIMATELY,refused (acceptable for orientation)
OP-003,orientation,Brief me on the perturbation.,direct_answer,SCHEDULE,C105__TT_4,off,0,unknown,useful_refusal,not_answerable,0,This question cannot be answered from the current payload.,,fallback_to_d1,d1,True,no_llm_client,unknown,,clarification_needed,False,,1.53,REFUSED_INCORRECTLY,high,"expected=direct_answer, got useful_refusal (intent=unknown)",,REFUSED_LEGITIMATELY,refused (acceptable for orientation)
OP-004,orientation,Give me a snapshot of where we are.,direct_answer,OBJ,C202__TW_3,off,0,unknown,useful_refusal,not_answerable,0,This question cannot be answered from the current payload.,,fallback_to_d1,d1,True,no_llm_client,unknown,,clarification_needed,False,,0.17,REFUSED_INCORRECTLY,high,"expected=direct_answer, got useful_refusal (intent=unknown)",,REFUSED_LEGITIMATELY,refused (acceptable for orientation)
OP-004,orientation,Give me a snapshot of where we are.,direct_answer,PV,R202__OC_1,off,0,unknown,useful_refusal,not_answerable,0,This question cannot be answered from the current payload.,,fallback_to_d1,d1,True,no_llm_client,unknown,,clarification_needed,False,,0.17,REFUSED_INCORRECTLY,high,"expected=direct_answer, got useful_refusal (intent=unknown)",,REFUSED_LEGITIMATELY,refused (acceptable for orientation)
OP-004,orientation,Give me a snapshot of where we are.,direct_answer,STRUCT,C104__OC_2,off,0,unknown,useful_refusal,not_answerable,0,This question cannot be answered from the current payload.,,fallback_to_d1,d1,True,no_llm_client,unknown,,clarification_needed,False,,0.29,REFUSED_INCORRECTLY,high,"expected=direct_answer, got useful_refusal (intent=unknown)",,REFUSED_LEGITIMATELY,refused (acceptable for orientation)
