prompt_id,family,source,cell_id,instance_id,perturbation_id,perturbation_family,instance_class,dataset,quadrant,sufficiency_label,policy_decision,action_taken,template_id,prompt_text,op_validity_gradable,manual_review_required
001,OBJ,synthetic,C202__TW_3,C202,TW_3,TIME_WINDOW,C,Solomon,suff_accept,sufficient,accept,reuse_direct,OBJ-1,What's the total cost on this plan after the time windows got tighter?,True,False
002,OBJ,llm_generated,R109__TT_4,R109,TT_4,TRAVEL_TIME,R,Solomon,suff_accept,sufficient,accept,reuse_direct,,What did this end up costing compared to running a full re-solve?,True,False
003,OBJ,synthetic,C2_2_2__TW_5,C2_2_2,TW_5,TIME_WINDOW,C,Homberger,suff_accept,sufficient,accept,reuse_direct,OBJ-1,What's the total cost on this plan after the time windows got tighter?,True,False
004,OBJ,synthetic,C104__ST_3,C104,ST_3,SERVICE_TIME,C,Solomon,suff_escal,sufficient,escalate,pyvrp_10s,OBJ-2,How much did the total distance change after service times went up 50%?,False,False
005,OBJ,synthetic,C206__ST_2,C206,ST_2,SERVICE_TIME,C,Solomon,suff_escal,sufficient,escalate,pyvrp_10s,OBJ-2,How much did the total distance change after service times went up 25%?,False,False
006,OBJ,llm_generated,C1_2_2__TT_5,C1_2_2,TT_5,TRAVEL_TIME,C,Homberger,suff_escal,sufficient,escalate,pyvrp_10s,,What does the new plan end up costing in total after the longer travel times kicked in?,True,False
007,OBJ,synthetic,C103__OC_1,C103,OC_1,ORDER_CHANGE,C,Solomon,insuff_accept,insufficient,accept,local_repair_insert,OBJ-3,Is the cost up or down compared to before a new order came in?,False,False
008,OBJ,llm_generated,C207__ST_1,C207,ST_1,SERVICE_TIME,C,Solomon,insuff_accept,insufficient,accept,reuse_direct,,How much more does this plan cost compared to running a full re-solve from scratch?,False,False
009,OBJ,llm_generated,R206__OC_4,R206,OC_4,ORDER_CHANGE,R,Solomon,insuff_accept,insufficient,accept,local_repair_insert,,"After patching in the new customers with that quick insert, what does the total route cost look like now?",True,False
010,OBJ,llm_generated,C201__ST_2,C201,ST_2,SERVICE_TIME,C,Solomon,insuff_escal,insufficient,escalate,pyvrp_10s,,What does the 10-second solve end up costing compared to a full re-solve?,True,False
011,OBJ,synthetic,C205__ST_4,C205,ST_4,SERVICE_TIME,C,Solomon,insuff_escal,insufficient,escalate,pyvrp_10s,OBJ-3,Is the cost up or down compared to before service times went up 100%?,False,False
012,OBJ,llm_generated,C1_2_1__TT_5,C1_2_1,TT_5,TRAVEL_TIME,C,Homberger,insuff_escal,insufficient,escalate,pyvrp_10s,,What's the total cost of this plan compared to what a full re-solve would give us?,True,False
013,PLAN_VALIDITY,llm_generated,R202__OC_1,R202,OC_1,ORDER_CHANGE,R,Solomon,suff_accept,sufficient,accept,local_repair_insert,,"After we slotted in the new customer, does the updated plan still hold up within all the usual constraints?",True,False
014,PLAN_VALIDITY,llm_generated,R208__OC_3,R208,OC_3,ORDER_CHANGE,R,Solomon,suff_accept,sufficient,accept,local_repair_insert,,"After adding the new customers, can the existing routes handle all of them, or are some going to get left out?",False,False
015,PLAN_VALIDITY,synthetic,C2_2_1__TW_6,C2_2_1,TW_6,TIME_WINDOW,C,Homberger,suff_accept,sufficient,accept,reuse_direct,PV-1,Does this plan still work after the time windows got tighter?,True,False
