prompt_id,family,source_planned,cell_id,instance_id,perturbation_id,perturbation_family,instance_class,dataset,quadrant,sufficiency_label,policy_decision,action_taken
001,OBJ,synthetic,C202__TW_3,C202,TW_3,TIME_WINDOW,C,Solomon,suff_accept,sufficient,accept,reuse_direct
002,OBJ,llm_generated,R109__TT_4,R109,TT_4,TRAVEL_TIME,R,Solomon,suff_accept,sufficient,accept,reuse_direct
003,OBJ,synthetic,C2_2_2__TW_5,C2_2_2,TW_5,TIME_WINDOW,C,Homberger,suff_accept,sufficient,accept,reuse_direct
004,OBJ,synthetic,C104__ST_3,C104,ST_3,SERVICE_TIME,C,Solomon,suff_escal,sufficient,escalate,pyvrp_10s
005,OBJ,synthetic,C206__ST_2,C206,ST_2,SERVICE_TIME,C,Solomon,suff_escal,sufficient,escalate,pyvrp_10s
006,OBJ,llm_generated,C1_2_2__TT_5,C1_2_2,TT_5,TRAVEL_TIME,C,Homberger,suff_escal,sufficient,escalate,pyvrp_10s
007,OBJ,synthetic,C103__OC_1,C103,OC_1,ORDER_CHANGE,C,Solomon,insuff_accept,insufficient,accept,local_repair_insert
008,OBJ,llm_generated,C207__ST_1,C207,ST_1,SERVICE_TIME,C,Solomon,insuff_accept,insufficient,accept,reuse_direct
009,OBJ,llm_generated,R206__OC_4,R206,OC_4,ORDER_CHANGE,R,Solomon,insuff_accept,insufficient,accept,local_repair_insert
010,OBJ,llm_generated,C201__ST_2,C201,ST_2,SERVICE_TIME,C,Solomon,insuff_escal,insufficient,escalate,pyvrp_10s
011,OBJ,synthetic,C205__ST_4,C205,ST_4,SERVICE_TIME,C,Solomon,insuff_escal,insufficient,escalate,pyvrp_10s
012,OBJ,llm_generated,C1_2_1__TT_5,C1_2_1,TT_5,TRAVEL_TIME,C,Homberger,insuff_escal,insufficient,escalate,pyvrp_10s
013,PLAN_VALIDITY,llm_generated,R202__OC_1,R202,OC_1,ORDER_CHANGE,R,Solomon,suff_accept,sufficient,accept,local_repair_insert
