prompt_id,family,source,cell_id,instance_id,perturbation_id,perturbation_family,instance_class,dataset,quadrant,sufficiency_label,policy_decision,action_taken,op_validity_gradable,manual_review_required,prompt_text,answer_text,claimed_objective,claimed_feasible,claimed_route_count,claimed_route_membership,claimed_late_customers,claimed_customer_timings,faithfulness_score,faithfulness_rationale,judge_op_validity_pass,judge_op_validity_check_results,judge_refusal_detected,runner_op_validity_pass,runner_op_validity_check_results,runner_refusal_detected,op_validity_agreement,refusal_agreement,framing_leak_hits,payload_external_field_refs,generator_model_served,judge_model_served,generator_wallclock_ms,judge_wallclock_ms,generator_cost_usd,judge_cost_usd,backend
001,OBJ,synthetic,C202__TW_3,C202,TW_3,TIME_WINDOW,C,Solomon,suff_accept,sufficient,accept,reuse_direct,True,False,What's the total cost on this plan after the time windows got tighter?,The total cost (distance) on the plan after the time windows tightened is 591.6 solomon_distance units.,591.6,,,null,null,null,5,"The answer claims a total cost of 591.6 solomon_distance units. The payload's `action_objective` is exactly 591.6 and `units.objective` is ""solomon_distance"". Every numerical and structural claim in the answer matches the payload exactly.",True,"{""objective_within_0_5_pct"": true}",False,True,"{""objective_within_0_5_pct"": true}",False,True,True,[],[],claude-haiku-4-5,claude-sonnet-4-6,10068,17711,0.0714024,0.08676510000000001,claude-code
005,OBJ,synthetic,C206__ST_2,C206,ST_2,SERVICE_TIME,C,Solomon,suff_escal,sufficient,escalate,pyvrp_10s,False,False,How much did the total distance change after service times went up 25%?,"The total distance increased by 32.5 units (5.52%) after service times were scaled up by 25%. The baseline distance was 588.4 units; after the perturbation, it became 620.9 units.",32.5,,,null,null,null,5,"All four payload-covered claims in the answer match exactly: the absolute delta of 32.5 matches `objective_delta_absolute` = 32.5, the percentage of 5.52% matches `objective_delta_percent` = 5.52, the baseline of 588.4 matches `baseline_objective` = 588.4, and the post-perturbation distance of 620.9 matches `action_objective` = 620.9. No imprecision or error detected.",,null,False,,null,False,True,True,[],[],claude-haiku-4-5,claude-sonnet-4-6,12692,20223,0.0197685,0.0407622,claude-code
007,OBJ,synthetic,C103__OC_1,C103,OC_1,ORDER_CHANGE,C,Solomon,insuff_accept,insufficient,accept,local_repair_insert,False,False,Is the cost up or down compared to before a new order came in?,"The cost is up. After inserting the new order, the total distance increased from 827.8 to 900.3 distance units—an increase of 72.5 units (8.76%).",900.3,,,null,null,null,5,"Every numerical claim in the answer matches the payload exactly: the baseline of 827.8 matches `baseline_objective`, the post-insert cost of 900.3 matches `action_objective`, the absolute increase of 72.5 matches `objective_delta_absolute`, and the percentage of 8.76% matches `objective_delta_percent`. The directional claim (""cost is up"") is also correct given the positive delta.",,null,False,,null,False,True,True,[],[],claude-haiku-4-5,claude-sonnet-4-6,15774,17928,0.02163305,0.040370949999999996,claude-code
009,OBJ,llm_generated,R206__OC_4,R206,OC_4,ORDER_CHANGE,R,Solomon,insuff_accept,insufficient,accept,local_repair_insert,True,False,"After patching in the new customers with that quick insert, what does the total route cost look like now?","The total route cost after the quick insert is 975.4 solomon_distance units, compared to the baseline of 881.2—an increase of 94.2 units (10.69%).",975.4,,,null,null,null,5,Every numerical claim in the answer matches the payload exactly: stated objective of 975.4 matches `action_objective` = 975.4; baseline of 881.2 matches `baseline_objective` = 881.2; absolute delta of 94.2 matches `objective_delta_absolute` = 94.2; and 10.69% matches `objective_delta_percent` = 10.69. No discrepancies of any kind.,True,"{""objective_within_0_5_pct"": true}",False,True,"{""objective_within_0_5_pct"": true}",False,True,True,[],[],claude-haiku-4-5,claude-sonnet-4-6,8236,15197,0.0175645,0.0379587,claude-code
012,OBJ,llm_generated,C1_2_1__TT_5,C1_2_1,TT_5,TRAVEL_TIME,C,Homberger,insuff_escal,insufficient,escalate,pyvrp_10s,True,False,What's the total cost of this plan compared to what a full re-solve would give us?,"The action plan (pyvrp_10s quick solve) costs 3306.1 solomon_distance units, while a full re-solve would give 2703.3 solomon_distance units. The quick solve is 602.8 units worse (22.3% higher cost) than the full re-solve.",3306.1,,,null,null,null,5,Every numerical claim in the answer matches the payload exactly: action_objective 3306.1 == claimed_objective 3306.1; baseline_objective 2703.3 correctly attributed to the full re-solve; objective_delta_absolute 602.8 and objective_delta_percent 22.3% both match payload fields precisely. No unsupported claims are made.,True,"{""objective_within_0_5_pct"": true}",False,True,"{""objective_within_0_5_pct"": true}",False,True,True,[],[],claude-haiku-4-5,claude-sonnet-4-6,9620,13511,0.019191850000000003,0.035319949999999996,claude-code
015,PLAN_VALIDITY,synthetic,C2_2_1__TW_6,C2_2_1,TW_6,TIME_WINDOW,C,Homberger,suff_accept,sufficient,accept,reuse_direct,True,False,Does this plan still work after the time windows got tighter?,"Yes. The plan remains feasible after the time windows were tightened. All feasibility constraints are satisfied: capacity is maintained, time windows are met, and all customers are covered with zero unserved customers.",,True,,null,null,null,5,"Every claim in the answer is directly supported by the payload: `claimed_feasible: true` matches `payload.feasible: true`; ""capacity is maintained"" matches `capacity_ok: true`; ""time windows are met"" matches `time_windows_ok: true`; ""all customers are covered with zero unserved customers"" matches `coverage_ok: true` and `n_unserved_customers: 0`. No invented or unsupported claims.",True,"{""feasibility_exact_match"": true}",False,True,"{""feasibility_exact_match"": true}",False,True,True,[],[],claude-haiku-4-5,claude-sonnet-4-6,8948,14085,0.0171514,0.035519949999999995,claude-code
016,PLAN_VALIDITY,synthetic,R104__TT_2,R104,TT_2,TRAVEL_TIME,R,Solomon,suff_escal,sufficient,escalate,pyvrp_10s,True,False,Does this plan still work after travel times went up 20%?,"Yes. The plan remains feasible after travel times increased by 20%. All time windows are satisfied, capacity constraints are met, and all customers are served with zero unserved customers.",,True,,null,null,null,5,"Every claim in the answer maps exactly to the payload: `claimed_feasible = true` matches `payload.feasible = true`; ""all time windows satisfied"" matches `feasibility_breakdown.time_windows_ok = true`; ""capacity constraints met"" matches `capacity_ok = true`; ""zero unserved customers"" matches `n_unserved_customers = 0` and `unserved_customer_ids = []`. No unsupported assertions are made.",True,"{""feasibility_exact_match"": true}",False,True,"{""feasibility_exact_match"": true}",False,True,True,[],[],claude-haiku-4-5,claude-sonnet-4-6,9010,15620,0.02059265,0.037872,claude-code
019,PLAN_VALIDITY,llm_generated,C201__OC_1,C201,OC_1,ORDER_CHANGE,C,Solomon,insuff_accept,insufficient,accept,local_repair_insert,True,False,"After adding the new customer and running the quick fix, does the updated plan still work within all your route constraints?","No. The updated plan is not feasible. The local repair operation violated time window constraints. Capacity and coverage constraints are satisfied, but time windows are not.",,False,,null,null,null,5,"Every claim in the answer matches the payload exactly: `claimed_feasible = false` matches `payload.feasible = false`; the time window violation matches `payload.feasibility_breakdown.time_windows_ok = false` and `payload.infeasibility_kind = ""time_window""`; and the assertion that capacity and coverage are satisfied matches `payload.feasibility_breakdown.capacity_ok = true` and `coverage_ok = true`.",True,"{""feasibility_exact_match"": true}",False,True,"{""feasibility_exact_match"": true}",False,True,True,[],[],claude-haiku-4-5,claude-sonnet-4-6,9556,22807,0.01803475,0.0375162,claude-code
020,PLAN_VALIDITY,llm_generated,RC103__ST_2,RC103,ST_2,SERVICE_TIME,RC,Solomon,insuff_accept,insufficient,accept,reuse_direct,False,True,"If jobs are taking longer to complete now, can all the stops on this route still be finished within their allowed windows?","No. The plan is infeasible due to time window violations. With service times scaled up under perturbation ST_2 and the route reused directly without reoptimization, the stops cannot all be completed within their allowed time windows.",,False,,null,null,null,5,"Every claim in the answer maps exactly to a payload field: ""infeasible"" matches `feasible: false`; ""time window violations"" matches both `infeasibility_kind: ""time_window""` and `feasibility_breakdown.time_windows_ok: false`; the answer correctly omits any unserved-customer claim consistent with `n_unserved_customers: 0`. No hallucinated details were introduced.",,null,False,,null,False,True,True,[],[],claude-haiku-4-5,claude-sonnet-4-6,9841,18635,0.0174105,0.0412831,claude-code
023,PLAN_VALIDITY,synthetic,R106__TW_4,R106,TW_4,TIME_WINDOW,R,Solomon,insuff_escal,insufficient,escalate,pyvrp_10s,False,False,Did we end up dropping any customers after the time windows got tighter?,"No, no customers were dropped. The solution serves all customers despite the tightened time windows (TW_4 perturbation). The unserved customer list is empty, and the feasibility breakdown confirms time_windows_ok: true.",,True,,null,null,null,5,"Every claim in the answer maps exactly to a payload field: ""no customers were dropped"" matches `n_unserved_customers: 0` and `unserved_customer_ids: []`; ""solution serves all customers"" matches `coverage_ok: true`; ""time_windows_ok: true"" is stated verbatim from `feasibility_breakdown`. No unsupported or invented claims were made.",,null,False,,null,False,True,True,[],[],claude-haiku-4-5,claude-sonnet-4-6,9148,13297,0.01793015,0.046135800000000005,claude-code
