prompt_id,family,source,cell_id,instance_id,perturbation_id,perturbation_family,instance_class,dataset,quadrant,sufficiency_label,policy_decision,action_taken,template_id,prompt_text,op_validity_gradable,manual_review_required,verification_pool
007,OBJ,synthetic,C103__OC_1,C103,OC_1,ORDER_CHANGE,C,Solomon,insuff_accept,insufficient,accept,local_repair_insert,OBJ-3,Is the cost up or down compared to before a new order came in?,False,False,FP
005,OBJ,synthetic,C206__ST_2,C206,ST_2,SERVICE_TIME,C,Solomon,suff_escal,sufficient,escalate,pyvrp_10s,OBJ-2,How much did the total distance change after service times went up 25%?,False,False,FN
001,OBJ,synthetic,C202__TW_3,C202,TW_3,TIME_WINDOW,C,Solomon,suff_accept,sufficient,accept,reuse_direct,OBJ-1,What's the total cost on this plan after the time windows got tighter?,True,False,TP
019,PLAN_VALIDITY,llm_generated,C201__OC_1,C201,OC_1,ORDER_CHANGE,C,Solomon,insuff_accept,insufficient,accept,local_repair_insert,,"After adding the new customer and running the quick fix, does the updated plan still work within all your route constraints?",True,False,FP
018,PLAN_VALIDITY,llm_generated,RC1_2_1__TW_5,RC1_2_1,TW_5,TIME_WINDOW,RC,Homberger,suff_escal,sufficient,escalate,pyvrp_10s,,"With the tighter delivery windows across the board, are all customers still reachable or do some have to be dropped from the schedule?",False,False,FN
024,PLAN_VALIDITY,llm_generated,C1_2_1__ST_3,C1_2_1,ST_3,SERVICE_TIME,C,Homberger,insuff_escal,insufficient,escalate,pyvrp_10s,,"With the longer service times at each stop, does this route plan still fit within the available working hours, or will some customers end up not getting visited?",False,False,TN
033,STRUCT,llm_generated,RC107__TW_2,RC107,TW_2,TIME_WINDOW,RC,Solomon,insuff_accept,insufficient,accept,reuse_direct,,"After tightening the time windows, did the number of vehicles needed actually change?",False,False,FP
029,STRUCT,synthetic,R201__TT_3,R201,TT_3,TRAVEL_TIME,R,Solomon,suff_escal,sufficient,escalate,pyvrp_10s,STRUCT-2,Which route is customer 42 on after travel times went up 30%?,True,False,FN
034,STRUCT,synthetic,R112__OC_1,R112,OC_1,ORDER_CHANGE,R,Solomon,insuff_escal,insufficient,escalate,pyvrp_10s,STRUCT-3,Are customers 12 and 17 still on the same route after a new order came in?,True,False,TN
039,SCHEDULE,llm_generated,RC202__ST_3,RC202,ST_3,SERVICE_TIME,RC,Solomon,suff_escal,sufficient,escalate,pyvrp_10s,,Are all the stops going to be reached within their scheduled delivery windows?,True,False,FN
040,SCHEDULE,synthetic,RC202__ST_4,RC202,ST_4,SERVICE_TIME,RC,Solomon,suff_escal,sufficient,escalate,pyvrp_10s,SCHEDULE-2,What time does route 1 wrap up after service times went up 100%?,True,False,FN
046,SCHEDULE,synthetic,RC201__OC_3,RC201,OC_3,ORDER_CHANGE,RC,Solomon,insuff_escal,insufficient,escalate,pyvrp_10s,SCHEDULE-3,When does the driver reach customer 42 after the new orders came in?,True,False,TN
