prompt_id,family,source,quadrant,verification_pool,judge_faithfulness_score,human_faithfulness_score,abs_diff,judge_op_validity_pass,human_op_validity_pass,op_validity_agree,judge_refusal_detected,human_refusal_assessment,refusal_agree
001,OBJ,synthetic,suff_accept,TP,5,5,0,True,True,True,False,False,True
005,OBJ,synthetic,suff_escal,FN,5,5,0,,,,False,False,True
007,OBJ,synthetic,insuff_accept,FP,5,5,0,,,,False,False,True
018,PLAN_VALIDITY,llm_generated,suff_escal,FN,5,5,0,,,,False,False,True
019,PLAN_VALIDITY,llm_generated,insuff_accept,FP,5,5,0,True,True,True,False,False,True
024,PLAN_VALIDITY,llm_generated,insuff_escal,TN,5,5,0,,,,False,False,True
029,STRUCT,synthetic,suff_escal,FN,5,5,0,False,True,False,False,False,True
033,STRUCT,llm_generated,insuff_accept,FP,5,5,0,,,,False,False,True
034,STRUCT,synthetic,insuff_escal,TN,5,5,0,True,True,True,False,False,True
039,SCHEDULE,llm_generated,suff_escal,FN,5,5,0,True,True,True,False,False,True
040,SCHEDULE,synthetic,suff_escal,FN,3,5,2,False,True,False,False,False,True
046,SCHEDULE,synthetic,insuff_escal,TN,5,5,0,True,True,True,False,False,True
